Year,Make,Model,Body,Category,0-60,Top Speed,Rating,0_60_sec,TopSpeed_mph
1968-1970,Dodge,Charger R/T,Coupe,Film Star,6.2 secs,134mph,55.0,6.2,134.0
1970-1971,Dodge,Challenger R/T,Convertibl...,"Film Star,...",6.0 secs,115-140mph,45.0,6.0,115.0
1992-1996,Dodge,Viper,Convertibl...,Grand Tour...,4.3 secs,180mph,30.0,4.3,180.0
1920-1927,Duesenberg,Model A,Coachbuilt,Pre-War,-,-,58.0,,
1929-1937,Duesenberg,Model J,Coachbuilt,Pre-War,11.0 secs,119mph,65.0,11.0,119.0
1932-1937,Duesenberg,Model SJ,Coachbuilt,"Film Star,...",8.0 secs,135mph,78.0,8.0,135.0
1958-1961,Facel Vega,HK500,Coupe,Grand Tour...,8.4 secs,147mph,60.0,8.4,147.0
1958-1964,Facel Vega,Excellence,Limousine,Grand Tour...,8.6 secs,120mph,60.0,8.6,120.0
1959-1963,Facel Vega,Facellia,Convertibl...,Grand Tour...,11.4 secs,114mph,40.0,11.4,114.0
1962-1964,Facel Vega,II,Coupe,Grand Tour...,7.8 secs,150mph,65.0,7.8,150.0
1948-1950,Ferrari,166 MM,"Coupe, Ope...",Sports-Rac...,10.0 secs,125mph,82.0,10.0,125.0
1950-1952,Ferrari,340 America,"Coupe, Ope...",Grand Tour...,7.2 secs,140mph,70.0,7.2,140.0
1952-1953,Ferrari,250 MM,"Coupe, Ope...",Sports-Rac...,7.5 secs,138mph,80.0,7.5,138.0
1953-1953,Ferrari,375 MM,"Coupe, Ope...",Sports-Rac...,6.0 secs,160mph,85.0,6.0,160.0
1953-1955,Ferrari,250 Europa,Coupe,Grand Tour...,9.2 secs,130mph,72.0,9.2,130.0
1954-1955,Ferrari,500 Mondial,"Coupe, Ope...",Sports-Rac...,9.0 secs,140mph,73.0,9.0,140.0
1954-1955,Ferrari,750 Monza,Open,Sports-Rac...,8.0 secs,150mph,75.0,8.0,150.0
1956-1957,Ferrari,500 TRC,Open,Sports-Rac...,7.5 secs,145mph,78.0,7.5,145.0
1956-1959,Ferrari,250 GT Tour de France,Coupe,Grand Tour...,7.1 secs,143mph,78.0,7.1,143.0
1956-1959,Ferrari,410 Superamerica,Coupe,Grand Tour...,6.6 secs,160mph,80.0,6.6,160.0
1957-1959,Ferrari,250 GT Pininfarina Cabriolet S...,Convertibl...,Grand Tour...,7.1 secs,126mph,77.0,7.1,126.0
1957-1961,Ferrari,250 Testa Rossa,Open,Sports-Rac...,5.0 secs,167mph,95.0,5.0,167.0
1958-1960,Ferrari,250 GT California Spider LWB,Convertibl...,Grand Tour...,7.1 secs,126mph,79.0,7.1,126.0
1958-1962,Ferrari,250 GT Pininfarina Coup&eacute...,Coupe,Grand Tour...,7.1 secs,126mph,64.0,7.1,126.0
