Year,Make,Model,Body,Category,0-60,Top Speed,Rating
Sort,Sort,Sort,Sort,Sort,Sort,Sort,Sort
1955-1963,Mercedes-Benz,190 SL,Convertibl...,Grand Tour...,13.0 secs,110mph,40
1957-1963,Mercedes-Benz,300 SL Roadster,Convertibl...,Grand Tour...,7.6 secs,150mph,73
1963-1967,Mercedes-Benz,230 SL 'Pagoda',Convertibl...,Grand Tour...,10.5 secs,120mph,35
1963-1981,Mercedes-Benz,600,Limousine,Dictators ...,9.7 secs,125mph,40
1966-1968,Mercedes-Benz,250 SL 'Pagoda',Convertibl...,Grand Tour...,10.5 secs,120mph,37
1968-1971,Mercedes-Benz,280 SL 'Pagoda',Convertibl...,Grand Tour...,9.0 secs,124mph,40
1968-1972,Mercedes-Benz,300 SEL 6.3,Saloon,Getaway Ca...,6.5 secs,137mph,39
1969-1971,Mercedes-Benz,280 SE 3.5 Cabriolet,Convertibl...,Grand Tour...,9.5 secs,127mph,56
1971-1981,Mercedes-Benz,450 SLC,Coupe,Popular Cl...,9.0 secs,130mph,35
1975-1981,Mercedes-Benz,450 SEL 6.9,Saloon,Dictators ...,7.3 secs,145mph,36
1977-1985,Mercedes-Benz,280 TE,Station Wa...,Popular Cl...,9.9 secs,125mph,15
1979-1993,Mercedes-Benz,G Wagen,Off Road/ ...,Popular Cl...,16.6 secs,90mph,20
1983-1993,Mercedes-Benz,190 E 2.3-16,Saloon,Getaway Ca...,7.8 secs,143mph,33
1985-1991,Mercedes-Benz,500 SEC,Coupe,Popular Cl...,7.3 secs,146mph,20
1990-1994,Mercedes-Benz,500 E,Saloon,Popular Cl...,5.5 secs,162mph,36
1998-1999,Mercedes-Benz,CLK-GTR,Convertibl...,Hypercar,3.8 secs,199mph,80
2003-2010,Mercedes-Benz,SLR McLaren,Coupe,Supercar,3.4 secs,208mph,45
1956-1964,Messerschmitt,KR,Saloon,Microcar,-,58mph,35
1933-1934,MG,K3,Open,"Pre-War, S...",14.0 secs,110mph,78
1945-1950,MG,TC,Convertibl...,Popular Cl...,22.7 secs,80mph,35
1955-1962,MG,A,Convertibl...,Popular Cl...,13.3 secs,105mph,30
1961-1980,MG,Midget,Convertibl...,Popular Cl...,10.8 secs,95.0mph,18
1962-1980,MG,B,Convertibl...,Popular Cl...,11.0 secs,106mph,20
1967-1969,MG,C,Convertibl...,Popular Cl...,9.8 secs,126mph,28
1985-1987,MG,Metro 6R4,Saloon,"Group B, R...",3.2 secs,125mph,44
1909-1952,Morgan,Three Wheeler,Convertibl...,Popular Cl...,12.0 secs,80mph,38
1950-present,Morgan,Plus 4,Convertibl...,Popular Cl...,9.7 secs,100mph,28
1968-2004,Morgan,Plus 8,Convertibl...,Popular Cl...,6.7 secs,124mph,36
1948-1971,Morris,Minor,Convertibl...,Popular Cl...,18.0 secs,73mph,28
1950-1954,Nash-Healey,Roadster,Convertibl...,Grand Tour...,10.0 secs,115mph,38
1969-1973,Nissan,Datsun 240Z,Coupe,Popular Cl...,8.0 secs,125mph,35
1940-1945,NSU,Kettenkrad,Off Road/ ...,Military V...,-,50mph,60
1961-1973,NSU,Prinz,Saloon,Popular Cl...,12.0 secs,99.0mph,22
